,Time,original_time,x,y,vx,vy,theta,omega,ax,steering_angle,cmd_steering_angle,cmd_velocity,velocity_error,cmd_velocity_k-1,velocity_error_k-1,cmd_steering_k-1,cmd_velocity_k-2,velocity_error_k-2,cmd_steering_k-2,cmd_velocity_k-3,velocity_error_k-3,cmd_steering_k-3,cmd_velocity_k-4,velocity_error_k-4,cmd_steering_k-4,velocity_error_sum,new_bag
99,2.475,1.754331822195287e+18,1.9493126677213004,0.4898722874540815,0.002809667187072642,-0.0029627185100786243,-0.515681524292022,0.0004393842610301544,0.0029781358526744716,-1.1411126735655039e-06,0.0,0.0,0.002809667187072642,0.0,0.0028145292143896073,0.0,0.0,0.002884052016656385,0.0,0.0,0.002984318138327497,0.0,0.0,0.0030888886367805685,0.0,0.31858048222217816,0.0
100,2.5,1.754331822220287e+18,1.947458674127358,0.4890585210906231,0.0028919068574002125,-0.004654804990243994,-0.5167855202006647,0.0005671344163729446,0.004871967578368886,-1.0061226826709031e-06,0.0,0.0,0.0028919068574002125,0.0,0.002809667187072642,0.0,0.0,0.0028145292143896073,0.0,0.0,0.002884052016656385,0.0,0.0,0.002984318138327497,0.0,0.31861572746888606,0.0
101,2.5250000000000004,1.754331822245287e+18,1.9474229722320064,0.4890787713135442,0.0030561661061465025,-0.005848489871623724,-0.5168239791514816,0.0007044462724519601,0.005938409193823472,-2.9694446100323725e-07,0.0,0.0,0.0030561661061465025,0.0,0.0028919068574002125,0.0,0.0,0.002809667187072642,0.0,0.0,0.0028145292143896073,0.0,0.0,0.002884052016656385,0.0,0.3186413035096424,0.0
102,2.5500000000000003,1.7543318222702868e+18,1.9473873022651065,0.489099003426551,0.00326584854738387,-0.007135046541734546,-0.5168624037081935,0.0008116552889240497,0.005892326547213198,9.702025225649617e-07,0.0,0.0,0.00326584854738387,0.0,0.0030561661061465025,0.0,0.0,0.0028919068574002125,0.0,0.0,0.002809667187072642,0.0,0.0,0.0028145292143896073,0.0,0.3187216297871735,0.0
103,2.575,1.754331822295287e+18,1.9491934946608405,0.4894991961110571,0.0034636314369384615,-0.008971560653171326,-0.5159144610750718,0.0008522414910115621,0.0046850999909689535,2.4947072061079367e-06,0.0,0.0,0.0034636314369384615,0.0,0.00326584854738387,0.0,0.0,0.0030561661061465025,0.0,0.0,0.0028919068574002125,0.0,0.0,0.002809667187072642,0.0,0.31887527229749185,0.0
104,2.6,1.754331822320287e+18,1.949205151715008,0.4894925742765008,0.003592386392701408,-0.011289815652476061,-0.5159037019802852,0.0008015464728960102,0.0025462461713919,3.67464391346389e-06,0.0,0.0,0.003592386392701408,0.0,0.0034636314369384615,0.0,0.0,0.00326584854738387,0.0,0.0,0.0030561661061465025,0.0,0.0,0.0028919068574002125,0.0,0.319066776558426,0.0
105,2.625,1.754331822345287e+18,1.949259026453678,0.4868667283227288,0.0036168852819792536,-0.013389019141724598,-0.5168433338747792,0.0006536739510590441,-7.042120142965506e-05,3.7285200805645262e-06,0.0,0.0,0.0036168852819792536,0.0,0.003592386392701408,0.0,0.0,0.0034636314369384615,0.0,0.0,0.00326584854738387,0.0,0.0,0.0030561661061465025,0.0,0.31922259905933564,0.0
106,2.6500000000000004,1.754331822370287e+18,1.9498262695720512,0.4857446489808579,0.003536495238707008,-0.01417390866190793,-0.5168216778199253,0.00042682696392807326,-0.0026186488270649303,1.976183988836184e-06,0.0,0.0,0.003536495238707008,0.0,0.0036168852819792536,0.0,0.0,0.003592386392701408,0.0,0.0,0.0034636314369384615,0.0,0.0,0.00326584854738387,0.0,0.3192649681851773,0.0
107,2.6750000000000003,1.754331822395287e+18,1.949832911016352,0.4857408880016693,0.003382969817076987,-0.012639759521947689,-0.5168479374881971,0.00016351563228621921,-0.004617520387724792,-1.7671626327652601e-06,0.0,0.0,0.003382969817076987,0.0,0.003536495238707008,0.0,0.0,0.0036168852819792536,0.0,0.0,0.003592386392701408,0.0,0.0,0.0034636314369384615,0.0,0.31914775193249156,0.0
108,2.7,1.754331822420287e+18,1.9502607775108367,0.4879592278886817,0.0032045603556581322,-0.008385234548901126,-0.5160058295059621,-7.964108448019543e-05,-0.005772895578224524,-6.812374284687003e-06,0.0,0.0,0.0032045603556581322,0.0,0.003382969817076987,0.0,0.0,0.003536495238707008,0.0,0.0,0.0036168852819792536,0.0,0.0,0.003592386392701408,0.0,0.31887632662617166,0.0
