Time,original_time,x,y,vx,vy,theta,omega,ax,steering_angle,cmd_steering_angle,cmd_velocity,velocity_error
0.0,1.751294683127272e+18,0.0,0.0,0.30954072211990136,0.08114239261833465,0.0,0.22047894032929358,2.669948948508144,0.20006846927045954,0.2000000029802322,3.0,-2.6904592778800986
0.025,1.751294683152272e+18,-0.0025452728281709306,-0.005119516211016914,0.37630693603019283,0.07996129376528242,0.006397994270057383,0.2903886693833001,2.6499812015024378,0.1941509784528063,0.2000000029802322,3.0,-2.623693063969807
0.05,1.7512946831772718e+18,0.0024988693457365634,-0.0051469334761610275,0.4422639361139283,0.07685444668306218,0.010694748033575285,0.3601292919305565,2.618465642989398,0.19148353173331023,0.2000000029802322,3.0,-2.5577360638860718
0.07500000000000001,1.751294683202272e+18,0.012494213767017578,-0.00016590305811639517,0.5068289199883285,0.07015664665658321,0.02073908345375375,0.4284013062217725,2.565548564965951,0.19432343939471622,0.2000000029802322,3.0,-2.4931710800116713
0.1,1.751294683227272e+18,0.0200920326821275,-0.0001464263555827452,0.5697130091582464,0.059053498029497685,0.029664935740630227,0.49417363317091156,2.4864161310552064,0.20296969787385177,0.2000000029802322,3.0,-2.4302869908417537
0.125,1.7512946832522719e+18,0.04066466170888221,0.0016575643265371947,0.6307506887056632,0.04364367578855994,0.04682973063411766,0.5569057901471164,2.38338571466076,0.215077618520788,0.2000000029802322,3.0,-2.369249311294337
0.15000000000000002,1.751294683277272e+18,0.05387235560385865,0.002035659419472483,0.689690032490638,0.024719730431081156,0.06057716560425974,0.6166518607585636,2.2669901628340536,0.22552164668069294,0.2000000029802322,3.0,-2.310309967509362
0.17500000000000002,1.751294683302272e+18,0.07973193664734547,0.0001227782778508994,0.7461585039453427,0.0034459848945625803,0.07918537099235201,0.6740659136155454,2.1554210860534924,0.22712551484804558,0.2000000029802322,3.0,-2.2538414960546573
0.2,1.751294683327272e+18,0.09439134305676841,0.000797341131525065,0.7999168170901281,-0.018873869833379783,0.09464602728514038,0.7303784323681143,2.0717974534599066,0.21240580755750435,0.2000000029802322,3.0,-2.200083182909872
0.225,1.751294683352272e+18,0.12413520818693931,0.007561888279412061,0.8512871052728128,-0.04084118858946148,0.10503962534290712,0.7873922655315096,2.0392324635958152,0.17607093039076538,0.2000000029802322,3.0,-2.148712894727187
0.25,1.7512946833772718e+18,0.1457226994959484,0.00905896758494863,0.9014685898067016,-0.0608822250795076,0.12589925470225638,0.8473012592097134,2.074531070994597,0.11748920556120997,0.2000000029802322,3.0,-2.0985314101932984
0.275,1.751294683402272e+18,0.1831613225082549,0.0045446429787698575,0.9524828693318844,-0.07728400296255858,0.1566293570548225,0.9118187925291128,2.182235864101416,0.04197026676063066,0.2000000029802322,3.0,-2.0475171306681155
0.30000000000000004,1.751294683427272e+18,0.21370792653323117,0.010642587304575494,1.0067072994164976,-0.08860669367225926,0.18452876096396853,0.9802122438437061,2.3511869029673593,-0.04010612901312449,-0.2000000029802322,3.0,-1.9932927005835024
0.325,1.7512946834522719e+18,0.24248887300506472,0.012652822760408008,1.0661964782195201,-0.09446010571692687,0.2065645976445356,1.0466417560164403,2.5554137608290035,-0.11632519213281804,-0.2000000029802322,3.0,-1.9338035217804799
0.35000000000000003,1.751294683477272e+18,0.2600946321394376,0.01536672303007294,1.1320877207217512,-0.09621251946325524,0.22315721130701327,1.0982409511274522,2.7599881640329196,-0.17617965996778662,-0.2000000029802322,3.0,-1.8679122792782488
0.375,1.751294683502272e+18,0.2981274683196863,0.01927897207721966,1.2042997892533815,-0.09697905065641046,0.2469212807898571,1.1157342296139703,2.9307561545076735,-0.21407296548327281,-0.2000000029802322,3.0,-1.7957002107466185
0.4,1.751294683527272e+18,0.33084642243613854,0.02551639836102759,1.2815781793651033,-0.10046848526147284,0.27596669883382896,1.0775018728134438,3.0452271000914912,-0.23016517792043037,-0.2000000029802322,3.0,-1.7184218206348967
0.42500000000000004,1.751294683552272e+18,0.3829524849520072,0.04951308119684823,1.361844812954972,-0.1089188043206916,0.314557425523577,0.9662588825073848,3.1009655549174364,-0.2291323244045093,-0.2000000029802322,3.0,-1.638155187045028
