Time,original_time,x,y,vx,vy,theta,omega,ax,steering_angle,cmd_steering_angle,cmd_velocity,velocity_error
0.0,1.7512939447055306e+18,0.0,0.0,0.17259454892007123,0.014063002259025063,0.0,-0.11112090882458912,2.3809511316998373,-0.2000000040899961,-0.2000000029802322,1.0,-0.8274054510799288
0.025,1.7512939447305306e+18,-0.00012979576921762085,-0.007918606673171236,0.23214697683484786,-0.015037792180856364,-0.0016512810559747848,-0.1437767336824799,2.3499165172455765,-0.2000000034106629,-0.2000000029802322,1.0,-0.7678530231651521
0.05,1.7512939447555308e+18,0.011695369486464702,-0.0008601334734068828,0.2908975810141675,-0.03647916830288207,-0.008528666061753398,-0.17769373481532327,2.32361416087755,-0.2000000021248994,-0.2000000029802322,1.0,-0.7091024189858325
0.07500000000000001,1.7512939447805307e+18,0.014448139118142828,-0.0008617361303807725,0.3483871825162505,-0.04429289684067198,-0.011316359569814471,-0.21377614872872977,2.3030998609462228,-0.20000000051436265,-0.2000000029802322,1.0,-0.6516128174837494
0.1,1.7512939448055306e+18,0.02615691907509737,-0.01297719495349592,0.40462389922760456,-0.036244106195817354,-0.015754350619705537,-0.25250137168085335,2.2832594400094224,-0.19999999918424646,-0.2000000029802322,1.0,-0.5953761007723954
0.125,1.7512939448305306e+18,0.0296418538327353,-0.01300622571088481,0.45997547670923766,-0.01466217761702562,-0.019250555015704718,-0.2938916133168676,2.2520982814792325,-0.19999999895282153,-0.2000000029802322,1.0,-0.5400245232907623
0.15000000000000002,1.7512939448555305e+18,0.05367579120450052,0.0008933144280132216,0.5147593506248985,0.014004184644406312,-0.031225427298309016,-0.3374802346590296,2.192636832690574,-0.20000000057185283,-0.2000000029802322,1.0,-0.4852406493751015
0.17500000000000002,1.7512939448805307e+18,0.05992902329079374,0.0007740122698067398,0.5686882565209722,0.041044071851467634,-0.03691047716224949,-0.3822011982997909,2.0873498297969184,-0.20000000431751389,-0.2000000029802322,1.0,-0.4313117434790278
0.2,1.7512939449055306e+18,0.08501150635267005,0.00047172857681830464,0.6205070916740527,0.058278338456313174,-0.047511868420714976,-0.4263092299624755,1.9240887231165296,-0.20000000957823558,-0.2000000029802322,1.0,-0.3794929083259473
0.225,1.7512939449305306e+18,0.1036527916941022,-0.00640935689542577,0.6681241619618302,0.06071631499612737,-0.055268971433297454,-0.4675400021249781,1.7015843805196655,-0.20000001464082526,-0.2000000029802322,1.0,-0.3318758380381698
0.25,1.7512939449555308e+18,0.1252434959694547,-0.00996348679492552,0.7092559378939748,0.04790779008589367,-0.06869862377844882,-0.5035878817589304,1.432412408539388,-0.20000001689534339,-0.2000000029802322,1.0,-0.2907440621060252
0.275,1.7512939449805307e+18,0.14421697151064944,-0.010825719481871832,0.7422665924013869,0.0234274153402998,-0.08308774944254371,-0.5327259104304518,1.141945124368384,-0.20000001360083006,-0.2000000029802322,1.0,-0.2577334075986131
0.30000000000000004,1.7512939450055306e+18,0.17543511890559604,-0.015385313534374896,0.7667670523167156,-0.007059939131014236,-0.09450532618610485,-0.5542675018898137,0.8631388340310467,-0.20000000316005243,-0.2000000029802322,1.0,-0.2332329476832844
0.325,1.7512939450305306e+18,0.1894435707443534,-0.016270810979716097,0.7837254140790402,-0.03794591220572723,-0.10487451493410949,-0.5686584187137543,0.6285028077126745,-0.19999998657050524,-0.2000000029802322,1.0,-0.21627458592095983
0.35000000000000003,1.7512939450555305e+18,0.2231705090229706,-0.02204545669739536,0.7951393505588658,-0.06490328523033755,-0.12551257755324552,-0.5771843467094477,0.46166594972913744,-0.19999996843888732,-0.2000000029802322,1.0,-0.20486064944113425
0.375,1.7512939450805307e+18,0.2384737450798441,-0.02330723215906486,0.8034853161739163,-0.0849032886528269,-0.1377474008706625,-0.5814644853243067,0.3711818835690203,-0.1999999568057291,-0.2000000029802322,1.0,-0.19651468382608372
0.4,1.7512939451055306e+18,0.27991763106623313,-0.040086570500134984,0.8111370234085318,-0.09564644699070102,-0.15378026309813042,-0.5829903028111103,0.34852236022782124,-0.1999999611759732,-0.2000000029802322,1.0,-0.18886297659146822
0.42500000000000004,1.7512939451305306e+18,0.29730018287381943,-0.0420342369251071,0.8198609770993467,-0.09527405452604477,-0.1656177539736834,-0.58289521934135,0.37087020926068825,-0.19999998868475335,-0.2000000029802322,1.0,-0.1801390229006533
0.45,1.7512939451555308e+18,0.30599702330645623,-0.043838980415922074,0.8304586216662554,-0.08275398908330982,-0.17084502964417192,-0.5819537465286713,0.4078086085231274,-0.20000003920555812,-0.2000000029802322,1.0,-0.1695413783337446
0.47500000000000003,1.7512939451805307e+18,0.33529494769206436,-0.04809754465837009,0.8426330080976706,-0.058675340265059876,-0.1930104295154207,-0.5806690649653462,0.42981376397276694,-0.20000010119769426,-0.2000000029802322,1.0,-0.1573669919023294
0.5,1.7512939452055306e+18,0.3690463963619743,-0.055777679284769205,0.8551525291538018,-0.025875092953803493,-0.21207101169595632,-0.5793181508701498,0.41596769252590526,-0.20000015076860864,-0.2000000029802322,1.0,-0.1448474708461982
0.525,1.7512939452305306e+18,0.38591334031082025,-0.058673653224353674,0.8663119805020143,0.010537895730818703,-0.2253467736709911,-0.5779454159109202,0.3586602429194798,-0.20000015627917703,-0.2000000029802322,1.0,-0.1336880194979857
0.55,1.7512939452555305e+18,0.42572102760065844,-0.06860821080642586,0.8745568400799862,0.04387251533250089,-0.24154591419371796,-0.5764104778483556,0.2641137891087388,-0.20000008943969913,-0.2000000029802322,1.0,-0.12544315992001376
0.5750000000000001,1.7512939452805307e+18,0.4521263750791108,-0.07021435114878079,0.8790295987953453,0.06716013658137168,-0.2578780834785488,-0.5745792008984649,0.14896736270016422,-0.19999994119569467,-0.2000000029802322,1.0,-0.12097040120465474
0.6000000000000001,1.7512939453055306e+18,0.4707292135814405,-0.07433803040919124,0.8798198034556376,0.07489995675779945,-0.2703901923164296,-0.5725884872865157,0.03440227122818522,-0.1999997373548363,-0.2000000029802322,1.0,-0.1201801965443624
0.625,1.7512939453305306e+18,0.48636551845887155,-0.07315820864526795,0.8778462155032561,0.06491998070366593,-0.28259090116225516,-0.5709755494791569,-0.060063479458261106,-0.19999954610352624,-0.2000000029802322,1.0,-0.12215378449674386
0.65,1.7512939453555308e+18,0.5135669660340433,-0.07990660215103756,0.874462316695205,0.039724928288613806,-0.3019890018351905,-0.5705110567829793,-0.121149711319151,-0.19999946900130586,-0.2000000029802322,1.0,-0.12553768330479498
0.675,1.7512939453805307e+18,0.534656818116194,-0.09763072347646262,0.870971856886189,0.006506103228905302,-0.31063578337417197,-0.5717906219916117,-0.1436572711585916,-0.1999996103012426,-0.2000000029802322,1.0,-0.12902814311381094
0.7000000000000001,1.7512939454055306e+18,0.5571074490143956,-0.10391109175210865,0.8682575592056337,-0.024718352036290383,-0.3267247075820561,-0.5748340486065383,-0.12964572838258231,-0.20000002713549905,-0.2000000029802322,1.0,-0.13174244079436626
0.7250000000000001,1.7512939454305306e+18,0.5808062961362728,-0.12043772047130752,0.8666674390028906,-0.04450707975085354,-0.34402679088246857,-0.5789558455815965,-0.0859797081654067,-0.20000067400911378,-0.2000000029802322,1.0,-0.13333256099710944
0.75,1.7512939454555305e+18,0.6238817135025251,-0.12832961465181447,0.8661769158197556,-0.04763588240346648,-0.3623178663770237,-0.5830059489042346,-0.021659799246554236,-0.20000136565279455,-0.2000000029802322,1.0,-0.13382308418024436
0.775,1.7512939454805307e+18,0.6364825816218806,-0.13261042766955833,0.8667004613536122,-0.03525264038391954,-0.37010924507368737,-0.5858664820846672,0.053953758979074125,-0.20000178719769232,-0.2000000029802322,1.0,-0.13329953864638777
0.8,1.7512939455055306e+18,0.6616700768718343,-0.14116721570427634,0.868345859768613,-0.014375969589276437,-0.38568319696757025,-0.5869538653847832,0.13169161578481992,-0.20000157412498407,-0.2000000029802322,1.0,-0.131654140231387
0.8250000000000001,1.7512939455305306e+18,0.6802227075938769,-0.15017811955406965,0.8714443678705758,0.005144815197452761,-0.40035281228481145,-0.5864748714708038,0.20237846008351468,-0.2000004630890959,-0.2000000029802322,1.0,-0.12855563212942422
0.8500000000000001,1.7512939455555308e+18,0.6980253938415453,-0.15675908137389755,0.8763331767882842,0.01479371268819089,-0.4122858077064915,-0.58531849216848,0.25679170300733495,-0.19999848042335502,-0.2000000029802322,1.0,-0.12366682321171585
0.875,1.7512939455805307e+18,0.7250720666162839,-0.17025265494713585,0.8830226145355138,0.010721187709325893,-0.42938788488960067,-0.5846532625476869,0.28651325335613725,-0.19999609730105697,-0.2000000029802322,1.0,-0.11697738546448622
0.9,1.7512939456055306e+18,0.7508744941492206,-0.18772184123855976,0.8909567983643759,-0.005177734718905296,-0.45152886552012306,-0.5854206594187018,0.28577128805705887,-0.1999942557314829,-0.2000000029802322,1.0,-0.10904320163562409
